trimestre,anio,trimestre_num,empleo_oede,var_ia_empleo_oede
2016 Q1,2016,1,6613581,0.84
2016 Q2,2016,2,6525582,-0.67
2016 Q3,2016,3,6500915,-1.34
2016 Q4,2016,4,6557915,-0.9
2017 Q1,2017,1,6616821,0.05
2017 Q2,2017,2,6571568,0.7
2017 Q3,2017,3,6596516,1.47
2017 Q4,2017,4,6675028,1.79
2018 Q1,2018,1,6721299,1.58
2018 Q2,2018,2,6648381,1.17
2018 Q3,2018,3,6586368,-0.15
2018 Q4,2018,4,6568783,-1.59
2019 Q1,2019,1,6576524,-2.15
2019 Q2,2019,2,6482832,-2.49
2019 Q3,2019,3,6443730,-2.17
2019 Q4,2019,4,6405747,-2.48
2020 Q1,2020,1,6385475,-2.91
2020 Q2,2020,2,6128684,-5.46
2020 Q3,2020,3,6106932,-5.23
2020 Q4,2020,4,6158447,-3.86
2021 Q1,2021,1,6246240,-2.18
2021 Q2,2021,2,6248342,1.95
2021 Q3,2021,3,6272694,2.71
2021 Q4,2021,4,6380354,3.6
2022 Q1,2022,1,6513954,4.29
2022 Q2,2022,2,6541450,4.69
2022 Q3,2022,3,6606995,5.33
2022 Q4,2022,4,6689570,4.85
2023 Q1,2023,1,6791234,4.26
2023 Q2,2023,2,6783223,3.7
2023 Q3,2023,3,6813266,3.12
2023 Q4,2023,4,6806304,1.75
2024 Q1,2024,1,6765105,-0.38
2024 Q2,2024,2,6644246,-2.05
2024 Q3,2024,3,6630028,-2.69
2024 Q4,2024,4,6687011,-1.75
2025 Q1,2025,1,6725903,-0.58
2025 Q2,2025,2,6666221,0.33
2025 Q3,2025,3,6627921,-0.03
